internal_id,id,name,URI
1,quantaar,quantAAR,https://open-archaeo.info/post/quantaar
2,tabula,tabula,https://open-archaeo.info/post/tabula
3,tosca,tosca,https://open-archaeo.info/post/tosca
4,cainterprtools,CAinterprTools,https://open-archaeo.info/post/cainterprtools
5,caseriation,CAseriation,https://open-archaeo.info/post/caseriation
6,binomial-co-occurrence-assessment,Binomial-Co-occurrence-Assessment,https://open-archaeo.info/post/binomial-co-occurrence-assessment
7,kmeans,Kmeans,https://open-archaeo.info/post/kmeans
8,brainerd-robinson-similarity-coefficient-and-sampling-error-assessment,Brainerd-Robinson-Similarity-Coefficient-and-Sampling-Error-Assessment,https://open-archaeo.info/post/brainerd-robinson-similarity-coefficient-and-sampling-error-assessment
9,mean-ceramic-date-and-error-estimation,Mean-Ceramic-Date-and-Error-Estimation,https://open-archaeo.info/post/mean-ceramic-date-and-error-estimation
10,bootstrap-correspondence-analysis,Bootstrap-Correspondence-Analysis,https://open-archaeo.info/post/bootstrap-correspondence-analysis
11,ca,ca,https://open-archaeo.info/post/ca
12,lisa,LISA,https://open-archaeo.info/post/lisa
13,plc,PLC,https://open-archaeo.info/post/plc
14,unconstrainedclustering,UnconstrainedClustering,https://open-archaeo.info/post/unconstrainedclustering
15,basicmapping,BasicMapping,https://open-archaeo.info/post/basicmapping
16,pointpattern,PointPattern,https://open-archaeo.info/post/pointpattern
17,sindwem,sindwem,https://open-archaeo.info/post/sindwem
18,explographe,Explographe,https://open-archaeo.info/post/explographe
19,predictsource,predictSource,https://open-archaeo.info/post/predictsource
20,artifact-class-diversity,Artifact_Class_Diversity,https://open-archaeo.info/post/artifact-class-diversity
21,ede-interpolation,ede_interpolation,https://open-archaeo.info/post/ede-interpolation
22,fuzzyviewshed,FuzzyViewshed,https://open-archaeo.info/post/fuzzyviewshed
23,qgis-visibility-analysis,QGIS-visibility-analysis,https://open-archaeo.info/post/qgis-visibility-analysis
24,senscape,senscape,https://open-archaeo.info/post/senscape
25,archaeolines,ArchaeoLines,https://open-archaeo.info/post/archaeolines
26,pathaar,pathAAR,https://open-archaeo.info/post/pathaar
27,transit,TRANSIT,https://open-archaeo.info/post/transit
28,chrono-spatial-modelling,chrono_spatial_modelling,https://open-archaeo.info/post/chrono-spatial-modelling
29,qgis-topographic-networks,QGIS-topographic-networks,https://open-archaeo.info/post/qgis-topographic-networks
30,leastcostpath,leastcostpath,https://open-archaeo.info/post/leastcostpath
31,field-photographs,field-photographs,https://open-archaeo.info/post/field-photographs
32,archaeological-survey-location-collector,archaeological-survey-location-collector,https://open-archaeo.info/post/archaeological-survey-location-collector
33,arkgrid,ArkGrid,https://open-archaeo.info/post/arkgrid
34,trenchdrawer,trenchdrawer,https://open-archaeo.info/post/trenchdrawer
35,fieldwalkr,fieldwalkr,https://open-archaeo.info/post/fieldwalkr
36,arkscan,ArkScan,https://open-archaeo.info/post/arkscan
37,arkspatial,ArkSpatial,https://open-archaeo.info/post/arkspatial
38,sitedefinition,sitedefinition,https://open-archaeo.info/post/sitedefinition
39,arkmatrix,ArkMatrix,https://open-archaeo.info/post/arkmatrix
40,harris2graph,harris2graph,https://open-archaeo.info/post/harris2graph
41,harris-matrix-legacy,Harris-matrix-legacy,https://open-archaeo.info/post/harris-matrix-legacy
42,harris-matrix-tsdye,harris-matrix,https://open-archaeo.info/post/harris-matrix-tsdye
43,harris-matrix-semerj,harris-matrix,https://open-archaeo.info/post/harris-matrix-semerj
44,le-stratifiant,Le Stratifiant,https://open-archaeo.info/post/le-stratifiant
45,chronomodel,chronomodel,https://open-archaeo.info/post/chronomodel
46,aoristaar,aoristAAR,https://open-archaeo.info/post/aoristaar
47,archseries,archSeries,https://open-archaeo.info/post/archseries
48,stratigraphr,stratigraphr,https://open-archaeo.info/post/stratigraphr
49,archaeochron,ArchaeoChron,https://open-archaeo.info/post/archaeochron
50,archaeophases-archaeostat,ArchaeoPhases,https://open-archaeo.info/post/archaeophases-archaeostat
51,archaeophases-marieannevibet,ArchaeoPhases,https://open-archaeo.info/post/archaeophases-marieannevibet
52,chronophage,Chronophage,https://open-archaeo.info/post/chronophage
53,seriographe-eppm,Seriographe EPPM,https://open-archaeo.info/post/seriographe-eppm
54,zooarch,zooaRch,https://open-archaeo.info/post/zooarch
55,zooarchgui,zooaRchGUI,https://open-archaeo.info/post/zooarchgui
56,mortaar,mortAAR,https://open-archaeo.info/post/mortaar
57,crossbones,Crossbones,https://open-archaeo.info/post/crossbones
58,pollen-data-processing,pollen_data_processing,https://open-archaeo.info/post/pollen-data-processing
59,ethnobotanyr,ethnobotanyR,https://open-archaeo.info/post/ethnobotanyr
60,chartool,CharTool,https://open-archaeo.info/post/chartool
61,tipom,tipom,https://open-archaeo.info/post/tipom
62,kotyle,kotyle,https://open-archaeo.info/post/kotyle
63,sdsbrowser,sdsbrowser,https://open-archaeo.info/post/sdsbrowser
64,sdsanalysis,sdsanalysis,https://open-archaeo.info/post/sdsanalysis
65,rtefact,rtefact,https://open-archaeo.info/post/rtefact
66,lithic3dslicer,lithic3dslicer,https://open-archaeo.info/post/lithic3dslicer
67,vessel-measuring-tool,Vessel-Measuring-Tool,https://open-archaeo.info/post/vessel-measuring-tool
68,bam,BAM,https://open-archaeo.info/post/bam
69,shapaar,shapAAR,https://open-archaeo.info/post/shapaar
70,artefact-morpho,artefact-morpho.R,https://open-archaeo.info/post/artefact-morpho
71,ceramic-computation,ceramic-computation,https://open-archaeo.info/post/ceramic-computation
72,synthkat,synthkat,https://open-archaeo.info/post/synthkat
73,murature,murature,https://open-archaeo.info/post/murature
74,ceramatch,CeraMatch,https://open-archaeo.info/post/ceramatch
75,cuneipainter,CuneiPainter,https://open-archaeo.info/post/cuneipainter
76,recexcavaar,recexcavAAR,https://open-archaeo.info/post/recexcavaar
77,lithics3d,Lithics3D,https://open-archaeo.info/post/lithics3d
78,3d-ceramics,3d-ceramics,https://open-archaeo.info/post/3d-ceramics
