internal_id,id,name,category,URI
1,quantaar,quantAAR,Packages and libraries,https://open-archaeo.info/post/quantaar
2,tabula,tabula,Packages and libraries,https://open-archaeo.info/post/tabula
3,tosca,tosca,Scripts,https://open-archaeo.info/post/tosca
4,cainterprtools,CAinterprTools,Packages and libraries,https://open-archaeo.info/post/cainterprtools
5,caseriation,CAseriation,Packages and libraries,https://open-archaeo.info/post/caseriation
6,binomial-co-occurrence-assessment,Binomial-Co-occurrence-Assessment,Scripts,https://open-archaeo.info/post/binomial-co-occurrence-assessment
7,kmeans,Kmeans,Scripts,https://open-archaeo.info/post/kmeans
8,brainerd-robinson-similarity-coefficient-and-sampling-error-assessment,Brainerd-Robinson-Similarity-Coefficient-and-Sampling-Error-Assessment,Scripts,https://open-archaeo.info/post/brainerd-robinson-similarity-coefficient-and-sampling-error-assessment
9,mean-ceramic-date-and-error-estimation,Mean-Ceramic-Date-and-Error-Estimation,Scripts,https://open-archaeo.info/post/mean-ceramic-date-and-error-estimation
10,bootstrap-correspondence-analysis,Bootstrap-Correspondence-Analysis,Scripts,https://open-archaeo.info/post/bootstrap-correspondence-analysis
11,ca,ca,Scripts,https://open-archaeo.info/post/ca
12,lisa,LISA,Scripts,https://open-archaeo.info/post/lisa
13,plc,PLC,Scripts,https://open-archaeo.info/post/plc
14,unconstrainedclustering,UnconstrainedClustering,Scripts,https://open-archaeo.info/post/unconstrainedclustering
15,basicmapping,BasicMapping,Scripts,https://open-archaeo.info/post/basicmapping
16,pointpattern,PointPattern,Scripts,https://open-archaeo.info/post/pointpattern
17,sindwem,sindwem,Packages and libraries,https://open-archaeo.info/post/sindwem
18,explographe,Explographe,Packages and libraries,https://open-archaeo.info/post/explographe
19,predictsource,predictSource,Packages and libraries,https://open-archaeo.info/post/predictsource
20,artifact-class-diversity,Artifact_Class_Diversity,Scripts,https://open-archaeo.info/post/artifact-class-diversity
21,ede-interpolation,ede_interpolation,Packages and libraries,https://open-archaeo.info/post/ede-interpolation
22,fuzzyviewshed,FuzzyViewshed,Packages and libraries,https://open-archaeo.info/post/fuzzyviewshed
23,qgis-visibility-analysis,QGIS-visibility-analysis,Packages and libraries,https://open-archaeo.info/post/qgis-visibility-analysis
24,senscape,senscape,Packages and libraries,https://open-archaeo.info/post/senscape
25,archaeolines,ArchaeoLines,Packages and libraries,https://open-archaeo.info/post/archaeolines
26,pathaar,pathAAR,Packages and libraries,https://open-archaeo.info/post/pathaar
27,transit,TRANSIT,Packages and libraries,https://open-archaeo.info/post/transit
29,qgis-topographic-networks,QGIS-topographic-networks,Packages and libraries,https://open-archaeo.info/post/qgis-topographic-networks
30,leastcostpath,leastcostpath,Packages and libraries,https://open-archaeo.info/post/leastcostpath
31,field-photographs,field-photographs,Packages and libraries,https://open-archaeo.info/post/field-photographs
32,archaeological-survey-location-collector,archaeological-survey-location-collector,Packages and libraries,https://open-archaeo.info/post/archaeological-survey-location-collector
